date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:04	30614/30614	---M-Z	200	added ('OK')	text/html	etag:W/%224891d663f6df35998aaad3c6c32fcf3b-gzip%22	http://aragonrobotics.weebly.com/photos.html	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/photos.html	(from http://aragonrobotics.weebly.com/)
16:34:04	1515/1515	---M--	404	error ('Not%20Found')	text/html	etag:%225bbd023f-5eb%22	http://aragonrobotics.weebly.com/%22/uploads/5/7/3/6/57360263/background-images/838247662.jpg%22	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/_/uploads/5/7/3/6/57360263/background-images/838247662.jpg_	(from http://aragonrobotics.weebly.com/)
16:34:15	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://aragonrobotics.weebly.com/)
16:34:48	366445/366445	---M--	200	added ('OK')	image/jpeg	etag:%22cffe179dc44b6266e71d9d1f58b08d22%22	http://aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/background-images/838247662.jpg	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/background-images/838247662.jpg	(from http://aragonrobotics.weebly.com/)
16:34:53	26517/26517	---M--	200	added ('OK')	image/jpeg	etag:%228b784d0509ab7182a58928350de13014%22	http://aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/img-1827.jpg?287	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/img-18279183.jpg	(from http://aragonrobotics.weebly.com/)
16:35:01	352600/352600	---M--	200	added ('OK')	image/jpeg	etag:%22c3f9b5aa90bdae883ec964cf1d0ee188%22	http://aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/img-2011_1_orig.jpg	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/img-2011_1_orig.jpg	(from http://aragonrobotics.weebly.com/)
16:35:02	359927/359927	---M--	200	added ('OK')	image/png	etag:%229c6990bf8828b479b9210ec9d00d5f0d%22	http://aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/1470323511.png	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/1470323511.png	(from http://aragonrobotics.weebly.com/)
16:35:03	302063/302063	---M--	200	added ('OK')	image/jpeg	etag:%22809c9b708a020282e9e0c96bb4552d5a%22	http://aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/outreach2_1_orig.jpg	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/uploads/5/7/3/6/57360263/outreach2_1_orig.jpg	(from http://aragonrobotics.weebly.com/)
16:35:04	3973/3973	---M-Z	200	added ('OK')	application/x-javascript	etag:%225bbceea1-f85%22	http://cdn2.editmysite.com/js/site/footerSignup.js?buildTime=1539109865	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/js/site/footerSignup071c.js	(from http://aragonrobotics.weebly.com/)
16:35:04	11070/11070	---M--	200	added ('OK')	image/jpeg	etag:%226f079cfee49e2d627f41a52bb3dee78d%22	http://cdn2.editmysite.com/images/site/footer/footer-toast-published-image.jpg	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/cdn2.editmysite.com/images/site/footer/footer-toast-published-image.jpg	(from http://aragonrobotics.weebly.com/)
16:35:05	5415/5415	---M--	200	added ('OK')	text	etag:%22acc006e2cadbb86e7f372851da06d67c%22	http://aragonrobotics.weebly.com/files/theme/custom.js?1475259792	C:/Users/User/Documents/School/AR_Weebly_Clone/AR_Weebly_Clone/aragonrobotics.weebly.com/files/theme/customec8b.js	(from http://aragonrobotics.weebly.com/)
